Date,PnL,Capital Required,Average Hit Rate,% profit,,,,,,
1,94.28437553,2592.777768,0.659153439,3.636422593,,,,,,
10,0,0,0,0,,,,,,
11,107.6796866,1347.212267,0.68030303,7.992778065,,,,,,
12,0,0,0,0,,,Total PnL,Total Capital Required,Average Hit Rate,Average % profit
13,0,0,0,0,,,"3,118.80",23141.52167,0.624642469,13.47739342
14,2.361436822,735.9225778,0.669394148,0.320881149,,,,,,
15,-3.4495,349.95,1,-0.985712245,,,,,,
16,278.0669765,1029.557259,0.445021543,27.00840329,,,,,,
17,147.9168747,489.5207399,0.607092633,30.21667166,,,,,,
18,115.4808186,1929.137722,0.665816327,5.986136568,,,,,,
19,0,0,0,0,,,,,,
2,306.9692964,1361.308112,0.764956912,22.54958255,,,,,,
20,0,0,0,0,,,,,,
21,44.30046444,2017.873706,-0.002277363,2.195403226,,,,,,
22,33.78143806,1733.581232,0.479273659,1.948650425,,,,,,
23,29.45733414,1246.045979,0.555162827,2.36406478,,,,,,
24,-26.77616736,446.5265619,0.75465059,-5.996545256,,,,,,
25,0,0,0,0,,,,,,
26,0,0,0,0,,,,,,
27,0,0,0,0,,,,,,
28,0,0,0,0,,,,,,
29,1001.65795,1016.56854,0.731604507,98.53324297,,,,,,
3,189.7097138,868.7618215,0.792992309,21.83679222,,,,,,
30,0,0,0,0,,,,,,
31,0,0,0,0,,,,,,
4,1.1815,754.053,0.5,0.156686599,,,,,,
5,0,0,0,0,,,,,,
6,0,0,0,0,,,,,,
7,17.92487617,2292.143712,0.690961273,0.782013627,,,,,,
8,442.0581089,1686.9585,0.525707575,26.2044448,,,,,,
9,-26.82288432,1243.622167,0.723751027,-2.156835494,,,,,,
,,,,,,,,,,
,Total PnL,Total Capital Required,Average Hit Rate,Average % profit,,,,,,
,"3,118.80",23141.52167,0.624642469,13.47739342,,,,,,
